"label"	"p1"	"p2"	"score"
"pos"	"X need for Y"	"X reduc Y"	"0.0"
"pos"	"X develop with Y"	"Y associ with X"	"0.0"
"pos"	"X us in Y"	"X be against Y"	"0.0"
"pos"	"X recommend for Y"	"X licens for Y"	"0.0"
"pos"	"X have Y"	"X character by Y"	"0.0"
"pos"	"X present as Y"	"X result in Y"	"0.0"
"pos"	"X treat with Y"	"Y cure X"	"0.0"
"pos"	"X caus Y"	"X result in Y"	"0.0"
"pos"	"X complic Y"	"Y preced X"	"0.0"
"pos"	"X caus Y"	"Y result from X"	"0.0"
"pos"	"X confound with Y"	"Y distinguish from X"	"0.0"
"pos"	"X treat with Y"	"Y reserv for X"	"0.0"
"pos"	"X produc Y"	"X accompani Y"	"0.0"
"pos"	"X give Y"	"X offer Y"	"0.0"
"pos"	"X reliev by Y"	"X respond to Y"	"0.0"
"pos"	"X mean Y"	"X associ with Y"	"0.0"
"pos"	"X treat by Y"	"Y treat X"	"0.0"
"pos"	"X need for Y"	"X help Y"	"0.0"
"pos"	"X correct Y"	"Y treat by X"	"0.0"
"pos"	"X be in Y"	"X transmit by Y"	"0.0"
"pos"	"X associ with Y"	"Y relat to X"	"0.0"
"pos"	"X be after Y"	"Y follow by X"	"0.0"
"pos"	"X manag with Y"	"Y requir for X"	"0.0"
"pos"	"X occur dure Y"	"Y caus X"	"0.0"
"pos"	"X be for Y"	"X bring Y"	"0.0"
"pos"	"X prescrib for Y"	"X need for Y"	"0.0"
"pos"	"X have Y"	"X transmit Y"	"0.0"
"pos"	"X trigger Y"	"X caus Y"	"0.0"
"pos"	"X afford Y"	"X us for Y"	"0.0"
"pos"	"X accompani by Y"	"Y see in X"	"0.0"
"pos"	"X cure with Y"	"X treat by Y"	"0.0"
"pos"	"X us as Y"	"X us in Y"	"0.0"
"pos"	"X confin to Y"	"X affect Y"	"0.0"
"pos"	"X occur with Y"	"Y accompani X"	"0.0"
"pos"	"X follow Y"	"Y occur with X"	"0.0"
"pos"	"X indic for Y"	"Y control with X"	"0.0"
"pos"	"X obtain from Y"	"X find in Y"	"0.0"
"pos"	"X be for Y"	"X kill Y"	"0.0"
"pos"	"X present as Y"	"X produc Y"	"0.0"
"pos"	"X contain Y"	"X includ Y"	"0.0"
"pos"	"X produc Y"	"Y result from X"	"0.0"
"pos"	"X be in Y"	"Y carri X"	"0.0"
"pos"	"X associ with Y"	"X develop with Y"	"0.0"
"pos"	"X indic for Y"	"X give Y"	"0.0"
"pos"	"X preced Y"	"X follow by Y"	"0.0"
"pos"	"X result from Y"	"Y result in X"	"0.0"
"pos"	"X respond to Y"	"Y us in X"	"0.0"
"pos"	"X treat by Y"	"Y be against X"	"0.0"
"pos"	"X be in Y"	"X control Y"	"0.0"
"pos"	"X inhibit by Y"	"Y inhibit X"	"0.0"
"pos"	"X mask Y"	"X us for Y"	"0.0"
"pos"	"X attack Y"	"X occur in Y"	"0.0"
"pos"	"X provid Y"	"Y achiev with X"	"0.0"
"pos"	"X find in Y"	"Y transmit X"	"0.0"
"pos"	"X deriv from Y"	"X make from Y"	"0.0"
"pos"	"X treat with Y"	"X overcom by Y"	"0.0"
"pos"	"X altern with Y"	"X follow by Y"	"0.0"
"pos"	"X bring Y"	"X afford Y"	"0.0"
"pos"	"X treat with Y"	"Y cover X"	"0.0"
"pos"	"X follow by Y"	"Y occur with X"	"0.0"
"pos"	"X deriv from Y"	"Y produc X"	"0.0"
"pos"	"X occur dure Y"	"X associ with Y"	"0.0"
"pos"	"X give for Y"	"X recommend for Y"	"0.0"
"pos"	"X act as Y"	"Y includ X"	"0.0"
"pos"	"X indic Y"	"Y character by X"	"0.0"
"pos"	"X lead to Y"	"Y follow X"	"0.0"
"pos"	"X hydrolyz Y"	"X break Y"	"0.0"
"pos"	"X us against Y"	"X prevent Y"	"0.0"
"pos"	"X reduc Y"	"X protect from Y"	"0.0"
"pos"	"X control Y"	"X mask Y"	"0.0"
"pos"	"X join with Y"	"Y meet X"	"0.0"
"pos"	"X treat by Y"	"X manag with Y"	"0.0"
"pos"	"X occur in Y"	"X indic Y"	"0.0"
"pos"	"X convert to Y"	"X convert into Y"	"0.0"
"pos"	"X us for Y"	"X afford Y"	"0.0"
"pos"	"X allevi Y"	"X reduc Y"	"0.0"
"pos"	"X combin with Y"	"X us as Y"	"0.0"
"pos"	"X result in Y"	"Y suggest X"	"0.0"
"pos"	"X find in Y"	"Y present X"	"0.0"
"pos"	"X us for Y"	"Y reliev with X"	"0.0"
"pos"	"X reliev by Y"	"Y be for X"	"0.0"
"pos"	"X reliev by Y"	"Y decreas X"	"0.0"
"pos"	"X help Y"	"Y control by X"	"0.0"
"pos"	"X produc by Y"	"X caus by Y"	"0.0"
"pos"	"X relat to Y"	"X attribut to Y"	"0.0"
"pos"	"X present with Y"	"X result in Y"	"0.0"
"pos"	"X reliev with Y"	"Y reliev X"	"0.0"
"pos"	"X treat with Y"	"X reliev by Y"	"0.0"
"pos"	"X see in Y"	"X indic Y"	"0.0"
"pos"	"X reliev Y"	"X improv Y"	"0.0"
"pos"	"X develop with Y"	"X accompani by Y"	"0.0"
"pos"	"X treat with Y"	"Y correct X"	"0.0"
"pos"	"X kill Y"	"X cover Y"	"0.0"
"pos"	"X prevent Y"	"Y prevent by X"	"0.0"
"pos"	"X manufactur Y"	"X make Y"	"0.0"
"pos"	"X have Y"	"X consist of Y"	"0.0"
"pos"	"X follow Y"	"Y follow X"	"0.0"
"pos"	"X take for Y"	"Y reliev with X"	"0.0"
"pos"	"X follow by Y"	"Y accompani by X"	"0.0"
"pos"	"X predispos to Y"	"X caus Y"	"0.0"
"pos"	"X administ to Y"	"X us for Y"	"0.0"
"pos"	"X correct with Y"	"Y us for X"	"0.0"
"pos"	"X carri Y"	"Y carri by X"	"0.0"
"pos"	"X see in Y"	"X occur in Y"	"0.0"
"pos"	"X relat to Y"	"X result from Y"	"0.0"
"pos"	"X consist of Y"	"X have Y"	"0.0"
"pos"	"X produc Y"	"Y obtain from X"	"0.0"
"pos"	"X mask Y"	"Y treat with X"	"0.0"
"pos"	"X impli Y"	"X defin as Y"	"0.0"
"pos"	"X altern with Y"	"Y altern with X"	"0.0"
"pos"	"X reliev with Y"	"Y reduc X"	"0.0"
"pos"	"X present with Y"	"X associ with Y"	"0.0"
"pos"	"X accompani by Y"	"Y produc X"	"0.0"
"pos"	"X associ with Y"	"Y impli X"	"0.0"
"pos"	"X be against Y"	"Y affect by X"	"0.0"
"pos"	"X need for Y"	"X requir for Y"	"0.0"
"pos"	"X order for Y"	"X give for Y"	"0.0"
"pos"	"X accompani Y"	"Y accompani with X"	"0.0"
"pos"	"X mask Y"	"X allevi Y"	"0.0"
"pos"	"X mistak for Y"	"X confound with Y"	"0.0"
"pos"	"X receiv Y"	"X have Y"	"0.0"
"pos"	"X make Y"	"X produc Y"	"0.0"
"pos"	"X secret Y"	"Y secret by X"	"0.0"
"pos"	"X penetr Y"	"Y penetr by X"	"0.0"
"pos"	"X us in Y"	"X be for Y"	"0.0"
"pos"	"X carri Y"	"Y transmit by X"	"0.0"
"pos"	"X character by Y"	"Y occur dure X"	"0.0"
"pos"	"X kill Y"	"X destroi Y"	"0.0"
"pos"	"X reliev Y"	"Y respond to X"	"0.0"
"pos"	"X reduc Y"	"X mask Y"	"0.0"
"pos"	"X suggest Y"	"Y result from X"	"0.0"
"pos"	"X provid from Y"	"X reliev Y"	"0.0"
"pos"	"X complic by Y"	"Y follow X"	"0.0"
"pos"	"X be in Y"	"X occur dure Y"	"0.0"
"pos"	"X help Y"	"X be for Y"	"0.0"
"pos"	"X manifest by Y"	"Y result from X"	"0.0"
"pos"	"X lead to Y"	"X give Y"	"0.0"
"pos"	"X develop for Y"	"X be for Y"	"0.0"
"pos"	"X accompani Y"	"Y occur with X"	"0.0"
"pos"	"X manag with Y"	"Y give for X"	"0.0"
"pos"	"X requir Y"	"Y administ for X"	"0.0"
"pos"	"X make from Y"	"X make of Y"	"0.0"
"pos"	"X recommend for Y"	"X develop for Y"	"0.0"
"pos"	"X develop Y"	"X caus Y"	"0.0"
"pos"	"X suggest Y"	"X be in Y"	"0.0"
"pos"	"X us Y"	"Y us in X"	"0.0"
"pos"	"X complic by Y"	"Y caus by X"	"0.0"
"pos"	"X be in Y"	"Y have X"	"0.0"
"pos"	"X occur in Y"	"X obtain from Y"	"0.0"
"pos"	"X us in Y"	"X reduc Y"	"0.0"
"pos"	"X develop from Y"	"X caus by Y"	"0.0"
"pos"	"X accompani Y"	"Y result in X"	"0.0"
"pos"	"X contribut to Y"	"X caus Y"	"0.0"
"pos"	"X progress to Y"	"Y caus by X"	"0.0"
"pos"	"X produc Y"	"Y make by X"	"0.0"
"pos"	"X accompani Y"	"X occur in Y"	"0.0"
"pos"	"X occur in Y"	"X caus by Y"	"0.0"
"pos"	"X complic by Y"	"Y result from X"	"0.0"
"pos"	"X treat by Y"	"Y mask X"	"0.0"
"pos"	"X caus Y"	"Y accompani X"	"0.0"
"pos"	"X lead to Y"	"Y indic X"	"0.0"
"pos"	"X requir for Y"	"Y requir X"	"0.0"
"pos"	"X associ with Y"	"X begin as Y"	"0.0"
"pos"	"X recommend for Y"	"X be for Y"	"0.0"
"pos"	"X afford Y"	"X recommend for Y"	"0.0"
"pos"	"X mask Y"	"Y treat by X"	"0.0"
"pos"	"X transmit from Y"	"Y have X"	"0.0"
"pos"	"X begin with Y"	"X character by Y"	"0.0"
"pos"	"X suggest Y"	"X caus Y"	"0.0"
"pos"	"X convert into Y"	"Y deriv from X"	"0.0"
"pos"	"X cure by Y"	"Y reliev X"	"0.0"
"pos"	"X occur after Y"	"X caus by Y"	"0.0"
"pos"	"X reliev with Y"	"Y help X"	"0.0"
"pos"	"X suppress Y"	"X reduc Y"	"0.0"
"pos"	"X achiev with Y"	"Y recommend for X"	"0.0"
"pos"	"X produc Y"	"Y accompani by X"	"0.0"
"pos"	"X control Y"	"Y manag with X"	"0.0"
"pos"	"X indic for Y"	"Y be with X"	"0.0"
"pos"	"X control by Y"	"X treat by Y"	"0.0"
"pos"	"X complic by Y"	"X develop into Y"	"0.0"
"pos"	"X requir Y"	"Y prevent X"	"0.0"
"pos"	"X manifest by Y"	"X associ with Y"	"0.0"
"pos"	"X afford Y"	"X bring Y"	"0.0"
"pos"	"X reduc Y"	"X order for Y"	"0.0"
"pos"	"X cure with Y"	"X control with Y"	"0.0"
"pos"	"X give for Y"	"Y requir X"	"0.0"
"pos"	"X reduc Y"	"X help Y"	"0.0"
"pos"	"X suggest Y"	"Y start with X"	"0.0"
"pos"	"X lead to Y"	"X manifest by Y"	"0.0"
"pos"	"X caus Y"	"X exacerb Y"	"0.0"
"pos"	"X control Y"	"X prevent Y"	"0.0"
"pos"	"X give to Y"	"Y associ with X"	"0.0"
"pos"	"X control by Y"	"Y be in X"	"0.0"
"pos"	"X turn to Y"	"X develop into Y"	"0.0"
"pos"	"X transmit via Y"	"X transmit through Y"	"0.0"
"pos"	"X combin with Y"	"Y combin with X"	"0.0"
"pos"	"X produc Y"	"X afford Y"	"0.0"
"pos"	"X obtain with Y"	"Y prescrib for X"	"0.0"
"pos"	"X manifest as Y"	"Y result from X"	"0.0"
"pos"	"X carri Y"	"X transmit Y"	"0.0"
"pos"	"X make Y"	"X manufactur Y"	"0.0"
"pos"	"X bring Y"	"Y obtain with X"	"0.0"
"pos"	"X occur in Y"	"Y character by X"	"0.0"
"pos"	"X indic Y"	"Y present as X"	"0.0"
"pos"	"X provid Y"	"X have Y"	"0.0"
"pos"	"X begin as Y"	"X caus Y"	"0.0"
"pos"	"X us for Y"	"Y includ X"	"0.0"
"pos"	"X provid Y"	"X prescrib for Y"	"0.0"
"pos"	"X cure Y"	"Y requir X"	"0.0"
"pos"	"X follow Y"	"X result from Y"	"0.0"
"pos"	"X control by Y"	"Y mask X"	"0.0"
"pos"	"X follow Y"	"X accompani Y"	"0.0"
"pos"	"X involv Y"	"X affect Y"	"0.0"
"pos"	"X produc Y"	"X provid Y"	"0.0"
"pos"	"X order for Y"	"X us for Y"	"0.0"
"pos"	"X affect by Y"	"X kill by Y"	"0.0"
"pos"	"X base on Y"	"X compos of Y"	"0.0"
"pos"	"X recommend for Y"	"Y us X"	"0.0"
"pos"	"X lead to Y"	"X character by Y"	"0.0"
"pos"	"X occur from Y"	"Y associ with X"	"0.0"
"pos"	"X bring Y"	"Y achiev with X"	"0.0"
"pos"	"X prevent Y"	"X inhibit Y"	"0.0"
"pos"	"X follow Y"	"Y complic X"	"0.0"
"pos"	"X produc Y"	"X manifest by Y"	"0.0"
"pos"	"X be in Y"	"Y suffer from X"	"0.0"
"pos"	"X includ Y"	"X know as Y"	"0.0"
"pos"	"X respond to Y"	"X manag with Y"	"0.0"
"pos"	"X requir Y"	"Y give for X"	"0.0"
"pos"	"X result in Y"	"Y associ with X"	"0.0"
"pos"	"X fertil by Y"	"Y penetr X"	"0.0"
"pos"	"X fertil Y"	"Y penetr by X"	"0.0"
"pos"	"X us as Y"	"Y us as X"	"0.0"
"pos"	"X allevi Y"	"Y reliev with X"	"0.0"
"pos"	"X us in Y"	"X administ to Y"	"0.0"
"pos"	"X be with Y"	"Y affect X"	"0.0"
"pos"	"X affect by Y"	"Y be in X"	"0.0"
"pos"	"X produc Y"	"X discharg Y"	"0.0"
"pos"	"X control by Y"	"Y reliev X"	"0.0"
"pos"	"X reliev Y"	"Y overcom by X"	"0.0"
"pos"	"X order for Y"	"X need for Y"	"0.0"
"pos"	"X follow Y"	"Y produc X"	"0.0"
"pos"	"X produc Y"	"Y come from X"	"0.0"
"pos"	"X caus Y"	"X occur with Y"	"0.0"
"pos"	"X need for Y"	"Y control with X"	"0.0"
"pos"	"X make from Y"	"X contain Y"	"0.0"
"pos"	"X caus by Y"	"Y lead to X"	"0.0"
"pos"	"X caus Y"	"Y occur after X"	"0.0"
"pos"	"X caus by Y"	"X complic Y"	"0.0"
"pos"	"X be in Y"	"Y achiev with X"	"0.0"
"pos"	"X indic Y"	"Y accompani by X"	"0.0"
"pos"	"X reliev by Y"	"Y order for X"	"0.0"
"pos"	"X mask Y"	"Y manag with X"	"0.0"
"pos"	"X prescrib for Y"	"X indic for Y"	"0.0"
"pos"	"X recommend for Y"	"X provid Y"	"0.0"
"pos"	"X reliev with Y"	"X treat with Y"	"0.0"
"pos"	"X help Y"	"Y reliev by X"	"0.0"
"pos"	"X develop Y"	"Y find in X"	"0.0"
"pos"	"X occur in Y"	"X involv Y"	"0.0"
"pos"	"X correct by Y"	"Y give for X"	"0.0"
"pos"	"X us against Y"	"X elimin Y"	"0.0"
"pos"	"X suggest Y"	"X indic Y"	"0.0"
"pos"	"X reliev by Y"	"Y reduc X"	"0.0"
"pos"	"X induc Y"	"X produc Y"	"0.0"
"pos"	"X occur from Y"	"Y lead to X"	"0.0"
"pos"	"X us for Y"	"X develop for Y"	"0.0"
"pos"	"X us for Y"	"X us as Y"	"0.0"
"pos"	"X reliev by Y"	"X overcom by Y"	"0.0"
"pos"	"X control by Y"	"Y help X"	"0.0"
"pos"	"X caus Y"	"X manifest by Y"	"0.0"
"pos"	"X die of Y"	"X develop Y"	"0.0"
"pos"	"X us for Y"	"X reliev Y"	"0.0"
"pos"	"X help Y"	"X need for Y"	"0.0"
"pos"	"X result from Y"	"X suggest Y"	"0.0"
"pos"	"X reduc Y"	"Y manag with X"	"0.0"
"pos"	"X treat with Y"	"Y give with X"	"0.0"
"pos"	"X relat to Y"	"X caus by Y"	"0.0"
"pos"	"X suggest Y"	"X accompani Y"	"0.0"
"pos"	"X present as Y"	"Y occur in X"	"0.0"
"pos"	"X follow Y"	"Y lead to X"	"0.0"
"pos"	"X result in Y"	"Y indic X"	"0.0"
"pos"	"X result in Y"	"Y result from X"	"0.0"
"pos"	"X result in Y"	"Y caus by X"	"0.0"
"pos"	"X improv Y"	"Y treat with X"	"0.0"
"pos"	"X requir Y"	"X control by Y"	"0.0"
"pos"	"X result in Y"	"X suggest Y"	"0.0"
"pos"	"X control by Y"	"Y be against X"	"0.0"
"pos"	"X requir Y"	"X reliev by Y"	"0.0"
"pos"	"X control with Y"	"Y treat X"	"0.0"
"pos"	"X control Y"	"X indic for Y"	"0.0"
"pos"	"X obtain from Y"	"X occur in Y"	"0.0"
"pos"	"X prescrib for Y"	"X cure Y"	"0.0"
"pos"	"X caus Y"	"X involv Y"	"0.0"
"pos"	"X control with Y"	"Y provid from X"	"0.0"
"pos"	"X reduc Y"	"Y treat with X"	"0.0"
"pos"	"X cure Y"	"Y treat by X"	"0.0"
"pos"	"X manifest by Y"	"Y indic X"	"0.0"
"pos"	"X be in Y"	"X suggest Y"	"0.0"
"pos"	"X treat with Y"	"Y improv X"	"0.0"
"pos"	"X allevi Y"	"Y control by X"	"0.0"
"pos"	"X caus Y"	"Y attribut to X"	"0.0"
"pos"	"X accompani by Y"	"Y follow X"	"0.0"
"pos"	"X us in Y"	"Y us X"	"0.0"
"pos"	"X caus by Y"	"X character by Y"	"0.0"
"pos"	"X reliev Y"	"X control Y"	"0.0"
"pos"	"X be in Y"	"Y manag with X"	"0.0"
"pos"	"X find in Y"	"X isol from Y"	"0.0"
"pos"	"X follow Y"	"Y give to X"	"0.0"
"pos"	"X transmit by Y"	"Y transmit X"	"0.0"
"pos"	"X result from Y"	"Y contribut to X"	"0.0"
"pos"	"X involv Y"	"X attack Y"	"0.0"
"pos"	"X develop in Y"	"X affect Y"	"0.0"
"pos"	"X contain Y"	"X base on Y"	"0.0"
"pos"	"X respond to Y"	"X requir Y"	"0.0"
"pos"	"X recommend for Y"	"X afford Y"	"0.0"
"pos"	"X give to Y"	"X associ with Y"	"0.0"
"pos"	"X accompani by Y"	"Y accompani by X"	"0.0"
"pos"	"X requir Y"	"X cure by Y"	"0.0"
"pos"	"X develop after Y"	"Y caus X"	"0.0"
"pos"	"X be against Y"	"X kill Y"	"0.0"
"pos"	"X provid Y"	"X bring Y"	"0.0"
"pos"	"X spread by Y"	"Y transmit X"	"0.0"
"pos"	"X cure with Y"	"Y control X"	"0.0"
"pos"	"X complic Y"	"Y complic with X"	"0.0"
"pos"	"X correct by Y"	"X treat by Y"	"0.0"
"pos"	"X us as Y"	"X emploi as Y"	"0.0"
"pos"	"X administ befor Y"	"X give befor Y"	"0.0"
"pos"	"X cover Y"	"Y treat with X"	"0.0"
"neg"	"X expos to Y"	"X die of Y"	"0.0"
"neg"	"X correct Y"	"X indic for Y"	"0.0"
"neg"	"X resembl Y"	"X know as Y"	"0.0"
"neg"	"X resembl Y"	"X distinguish from Y"	"0.0"
"neg"	"X occur Y"	"Y associ with X"	"0.0"
"neg"	"X produc by Y"	"X be against Y"	"0.0"
"neg"	"X produc Y"	"Y us in X"	"0.0"
"neg"	"X simul Y"	"X differ from Y"	"0.0"
"neg"	"X character by Y"	"Y includ X"	"0.0"
"neg"	"X mimic Y"	"Y differenti from X"	"0.0"
"neg"	"X produc Y"	"Y be against X"	"0.0"
"neg"	"X distinguish from Y"	"X character by Y"	"0.0"
"neg"	"X resembl Y"	"Y distinguish from X"	"0.0"
"neg"	"X have Y"	"X be in Y"	"0.0"
"neg"	"X us in Y"	"Y produc X"	"0.0"
"neg"	"X produc by Y"	"X kill Y"	"0.0"
"neg"	"X confus with Y"	"X includ Y"	"0.0"
"neg"	"X produc Y"	"Y give to X"	"0.0"
"neg"	"X be in Y"	"Y find in X"	"0.0"
"neg"	"X contract Y"	"X die from Y"	"0.0"
"neg"	"X distinguish from Y"	"Y confound with X"	"0.0"
"neg"	"X resembl Y"	"Y confus with X"	"0.0"
"neg"	"X associ with Y"	"Y distinguish from X"	"0.0"
"neg"	"X avoid in Y"	"X us in Y"	"0.0"
"neg"	"X be in Y"	"Y occur in X"	"0.0"
"neg"	"X convert to Y"	"X deriv from Y"	"0.0"
"neg"	"X simul Y"	"X confound with Y"	"0.0"
"neg"	"X produc Y"	"Y kill X"	"0.0"
"neg"	"X be against Y"	"X deriv from Y"	"0.0"
"neg"	"X treat by Y"	"Y produc X"	"0.0"
"neg"	"X includ Y"	"X confus with Y"	"0.0"
"neg"	"X contract Y"	"X die of Y"	"0.0"
"neg"	"X differ from Y"	"Y includ X"	"0.0"
"neg"	"X be against Y"	"Y produc X"	"0.0"
"neg"	"X substitut for Y"	"Y includ X"	"0.0"
"neg"	"X differenti from Y"	"Y resembl X"	"0.0"
"neg"	"X prevent Y"	"X produc Y"	"0.0"
"neg"	"X resembl Y"	"X confound with Y"	"0.0"
"neg"	"X get Y"	"Y kill X"	"0.0"
"neg"	"X kill Y"	"X deriv from Y"	"0.0"
"neg"	"X us in Y"	"X avoid in Y"	"0.0"
"neg"	"X dilat Y"	"X constrict Y"	"0.0"
"neg"	"X get Y"	"X die of Y"	"0.0"
"neg"	"X simul Y"	"Y distinguish from X"	"0.0"
"neg"	"X produc Y"	"Y treat by X"	"0.0"
"neg"	"X produc Y"	"Y destroi X"	"0.0"
"neg"	"X resembl Y"	"X differ from Y"	"0.0"
"neg"	"X constrict Y"	"X dilat Y"	"0.0"
"neg"	"X be against Y"	"X produc by Y"	"0.0"
"neg"	"X produc Y"	"X treat with Y"	"0.0"
"neg"	"X convert to Y"	"Y convert to X"	"0.0"
"neg"	"X destroi Y"	"Y produc X"	"0.0"
"neg"	"X have Y"	"Y kill X"	"0.0"
"neg"	"X get Y"	"X die from Y"	"0.0"
"neg"	"X differenti from Y"	"Y mimic X"	"0.0"
"neg"	"X deriv from Y"	"X destroi Y"	"0.0"
"neg"	"X kill Y"	"Y produc X"	"0.0"
"neg"	"X distinguish from Y"	"Y character by X"	"0.0"
"neg"	"X find in Y"	"Y be in X"	"0.0"
"neg"	"X resembl Y"	"X confus with Y"	"0.0"
"neg"	"X distinguish from Y"	"X confound with Y"	"0.0"
"neg"	"X give to Y"	"Y produc X"	"0.0"
"neg"	"X develop Y"	"X die of Y"	"0.0"
"neg"	"X character by Y"	"X distinguish from Y"	"0.0"
"neg"	"X differ from Y"	"X confound with Y"	"0.0"
"neg"	"X treat with Y"	"X produc Y"	"0.0"
"neg"	"X suffer from Y"	"X die of Y"	"0.0"
"neg"	"X destroi Y"	"X produc by Y"	"0.0"
"neg"	"X distinguish from Y"	"X associ with Y"	"0.0"
"neg"	"X simul Y"	"Y confound with X"	"0.0"
"neg"	"X kill Y"	"X produc by Y"	"0.0"
"neg"	"X destroi Y"	"X deriv from Y"	"0.0"
"neg"	"X associ with Y"	"X distinguish from Y"	"0.0"
"neg"	"X contract Y"	"Y kill X"	"0.0"
"neg"	"X occur in Y"	"Y be in X"	"0.0"
"neg"	"X resembl Y"	"Y differ from X"	"0.0"
"neg"	"X produc Y"	"X prevent Y"	"0.0"
"neg"	"X indic for Y"	"X correct Y"	"0.0"
"neg"	"X have Y"	"X die of Y"	"0.0"
"neg"	"X distinguish from Y"	"X resembl Y"	"0.0"
"pos"	"X be dure Y"	"X occur dure Y"	"0.0"
"pos"	"X break Y"	"X digest Y"	"0.0"
"pos"	"X be with Y"	"X character by Y"	"0.0"
"pos"	"X prevent Y"	"Y requir X"	"0.0"
"pos"	"X penetr by Y"	"X fertil by Y"	"0.0"
"pos"	"X accompani by Y"	"Y complic X"	"0.0"
"pos"	"X overcom by Y"	"X treat with Y"	"0.0"
"pos"	"X transmit by Y"	"X spread through Y"	"0.0"
"pos"	"X achiev with Y"	"Y indic for X"	"0.0"
"pos"	"X introduc by Y"	"Y produc X"	"0.0"
"pos"	"X infect with Y"	"X transmit Y"	"0.0"
"pos"	"X develop Y"	"X expos to Y"	"0.0"
"pos"	"X character by Y"	"X caus by Y"	"0.0"
"pos"	"X attribut to Y"	"X caus by Y"	"0.0"
"pos"	"X accompani Y"	"Y follow X"	"0.0"
"pos"	"X treat by Y"	"Y allevi X"	"0.0"
"pos"	"X reliev by Y"	"X control with Y"	"0.0"
"pos"	"X cure Y"	"Y control by X"	"0.0"
"pos"	"X help Y"	"X allevi Y"	"0.0"
"pos"	"X treat by Y"	"Y cure X"	"0.0"
"pos"	"X correct with Y"	"X treat by Y"	"0.0"
"pos"	"X develop Y"	"Y caus by X"	"0.0"
"pos"	"X result in Y"	"X contribut to Y"	"0.0"
"pos"	"X caus by Y"	"Y accompani by X"	"0.0"
"pos"	"X reliev Y"	"Y manag with X"	"0.0"
"pos"	"X occur from Y"	"Y result in X"	"0.0"
"pos"	"X produc by Y"	"Y releas X"	"0.0"
"pos"	"X associ with Y"	"X follow by Y"	"0.0"
"pos"	"X requir for Y"	"X be for Y"	"0.0"
"pos"	"X elimin Y"	"X be against Y"	"0.0"
"pos"	"X kill Y"	"Y die of X"	"0.0"
"pos"	"X cure Y"	"Y reliev by X"	"0.0"
"pos"	"X develop from Y"	"X follow Y"	"0.0"
"pos"	"X mean Y"	"X caus Y"	"0.0"
"pos"	"X progress to Y"	"X complic by Y"	"0.0"
"pos"	"X caus by Y"	"Y predispos to X"	"0.0"
"pos"	"X caus by Y"	"X see in Y"	"0.0"
"pos"	"X meet Y"	"Y combin with X"	"0.0"
"pos"	"X respond to Y"	"Y elimin X"	"0.0"
"pos"	"X affect Y"	"Y affect with X"	"0.0"
"neg"	"X associ with Y"	"Y occur X"	"0.0"
"neg"	"X protect from Y"	"X expos to Y"	"0.0"
"neg"	"X character by Y"	"Y distinguish from X"	"0.0"
"neg"	"X deriv from Y"	"X kill Y"	"0.0"
"neg"	"X distinguish from Y"	"Y have X"	"0.0"
"neg"	"X expos to Y"	"X protect from Y"	"0.0"
"pos"	"X unit with Y"	"Y combin with X"	"0.0"
"neg"	"X differ from Y"	"Y resembl X"	"0.0"
"neg"	"X know as Y"	"X resembl Y"	"0.0"
"neg"	"X distinguish from Y"	"Y associ with X"	"0.0"
"neg"	"X deriv from Y"	"X be against Y"	"0.0"
"neg"	"X be in Y"	"X have Y"	"0.0"
"neg"	"X contain Y"	"X be in Y"	"0.0"
"neg"	"X resembl Y"	"Y differenti from X"	"0.0"
"neg"	"X includ Y"	"Y substitut for X"	"0.0"
"neg"	"X have Y"	"Y distinguish from X"	"0.0"
"neg"	"X includ Y"	"Y differ from X"	"0.0"
"neg"	"X produc by Y"	"X destroi Y"	"0.0"
"neg"	"X be in Y"	"X contain Y"	"0.0"
"neg"	"X deriv from Y"	"X convert to Y"	"0.0"
"pos"	"X convert into Y"	"Y form from X"	"0.0"
"pos"	"X develop Y"	"X have Y"	"0.0"
"pos"	"X reduc to Y"	"X convert to Y"	"0.0"
"pos"	"X suggest Y"	"X occur in Y"	"0.0"
"pos"	"X discov Y"	"X invent Y"	"0.0"
"pos"	"X follow by Y"	"Y caus by X"	"0.0"
"pos"	"X occur in Y"	"Y transmit X"	"0.0"
"pos"	"X exacerb Y"	"X caus Y"	"0.0"
"pos"	"X involv Y"	"X caus Y"	"0.0"
"pos"	"X treat with Y"	"Y recommend for X"	"0.0"
"pos"	"X control with Y"	"X control by Y"	"0.0"
"pos"	"X transmit Y"	"Y occur in X"	"0.0"
"pos"	"X us for Y"	"X treat Y"	"0.0"
"pos"	"X follow Y"	"Y preced X"	"0.0"
"pos"	"X caus by Y"	"Y associ with X"	"0.0"
"pos"	"X follow by Y"	"Y altern with X"	"0.0"
"pos"	"X see in Y"	"Y produc X"	"0.0"
"pos"	"X be in Y"	"X reliev Y"	"0.0"
"pos"	"X infect with Y"	"Y find in X"	"0.0"
"pos"	"X requir Y"	"X respond to Y"	"0.0"
"pos"	"X mistak for Y"	"Y distinguish from X"	"0.0"
"pos"	"X give to Y"	"X administ to Y"	"0.0"
"pos"	"X allevi Y"	"X reliev Y"	"0.0"
"pos"	"X administ for Y"	"X need for Y"	"0.0"
"pos"	"X preced by Y"	"X herald by Y"	"0.0"
"pos"	"X compos of Y"	"Y us as X"	"0.0"
"pos"	"X us for Y"	"X mask Y"	"0.0"
